state,raw_name,norm_name
CA,"Traackr, Inc.",traackr
CA,TransUnion Digital LLC,transunion digital
CA,"TransUnion Interactive, Inc.",transunion interactive
CA,"TransUnion Risk and Alternative Data Solutions, Inc.",transunion risk and alternative data solutions
CA,"Trestle Solutions, Inc.",trestle solutions
CA,True Blue Analytics LLC,true blue analytics
CA,"TRUSTID, Inc.",trustid
CA,Truth Now LLC,truth now
CA,"Truthed, Inc",truthed
CA,"TSG Holdco, LLC",tsg holdco
CA,"Tunnl, LLC",tunnl
CA,"UNMASK, LLC",unmask
CA,Uplead LLC,uplead
CA,UPS Capital Corporation,ups capital
CA,US Data Corporation,us data
CA,"USPeopleSearch.com, LLC",uspeoplesearch com
CA,Veeva Systems Inc.,veeva systems
CA,VentiveIQ LLC,ventiveiq
CA,"Veraset, LLC",veraset
CA,"Vi Technologies, Inc.",vi technologies
CA,"VideoAmp, Inc.",videoamp
CA,VisitIQ LLC,visitiq
CA,Vistar Media Inc.,vistar media
CA,Visual Visitor L.L.C.,visual visitor l l c
CA,VRTCAL Markets Inc.,vrtcal markets
CA,"Warmly, Inc.",warmly
CA,We Inform LLC,we inform
CA,"WealthFeed, Inc.",wealthfeed
CA,"Webbula, LLC",webbula
CA,West Publishing Corp,west publishing
CA,"Whitepages, Inc",whitepages
CA,"Wiland, Inc.",wiland
CA,"Windfall Data, Inc.",windfall data
CA,WINR Data,winr data
CA,"Wiza, Inc.",wiza
CA,Xcelerated Data LLC,xcelerated data
CA,"Yieldmo, Inc.",yieldmo
CA,ZeroToOne.AI Inc.,zerotoone ai
CA,Zeta Global,zeta global
CA,"ZS Associates, Inc.",zs associates
CA,Subdirect LLC,subdirect
CA,"Above Data, Inc.",above data
CA,"ActivImpact, LLC",activimpact
CA,Viant US LLC,viant us
CA,Adprime Media LLC,adprime media
CA,Adttribution Inc,adttribution
CA,"Project Affinity, Inc.",project affinity
CA,"NEXT WAVE MARKETING STRATEGIES, INC",next wave marketing strategies
CA,The Alesco Group LLC,the alesco group
CA,AlikeAudience Inc,alikeaudience
CA,"Allant Group, LLC",allant group
CA,Tagis Inc,tagis
CA,"Anteriad, LLC",anteriad
CA,"Zenleads, Inc.",zenleads
CA,Astoria Company,astoria company
CA,Hunt Club Inc,hunt club
CA,Unearth Campaigns LLC,unearth campaigns
CA,Audience Acuity LLC,audience acuity
CA,Audience Mix LLC,audience mix
CA,"Predictive Pop, Inc.",predictive pop
CA,"Bachmanity, Inc.",bachmanity
CA,"Azira, LLC",azira
CA,EquiMine Inc.,equimine
CA,BB Direct Inc,bb direct
CA,Biointelli Corporation,biointelli
CA,Gigabite Inc,gigabite
CA,A Direct Marketing Inc,a direct marketing
CA,Crimson Hexagon,crimson hexagon
CA,"OWMN, LTD.",owmn
CA,J2 Global Canada Inc.,j2 global canada
CA,"Guidestar Direct, Corp.",guidestar direct
CA,Pludo Inc,pludo
CA,Catalina Marketing Corporation,catalina marketing
CA,"CB Information Services, Inc.",cb information services
CA,"CDK Global, LLC",cdk global
CA,"Rushmore Labs, LLC",rushmore labs
CA,"Censia, Inc.",censia
CA,"Elevar, LLC",elevar
CA,"MV Digital Group, LLC",mv digital group
CA,Cision,cision
CA,CITYDATA Inc.,citydata
CA,Claritas LLC,claritas
CA,Clarivate,clarivate
CA,"ClearCompany, LLC",clearcompany
CA,Clickagy LLC,clickagy
CA,"Summit Resources, LLC",summit resources
CA,Cognism,cognism
CA,eContext.ai LLC,econtext ai
CA,Complete Mailing Lists LLC,complete mailing lists
CA,"Comscore, Inc",comscore
CA,"Crunchbase, Inc.",crunchbase
CA,"Mississippi Tornado Alley, LLC",mississippi tornado alley
CA,Data Axle Inc.,data axle
CA,Data Decisions Group,data decisions group
CA,"DT Client Services, LLC",dt client services
CA,Datadesk Inc.,datadesk
CA,"Task Genie, Inc.",task genie
CA,Dataman Group Inc,dataman group
CA,Datanyze LLC,datanyze
CA,"Data Partners, Inc.",data partners
CA,"Datasys Group, Inc.",datasys group
CA,Date Detective Inc,date detective
CA,Decide Technologies Inc.,decide technologies
CA,DecisionLinks LLC,decisionlinks
CA,"Compact Information Systems, LLC",compact information systems
CA,"Demand Science US, LLC",demand science us
CA,Qualfon,qualfon
CA,"Dice Career Solutions, Inc.",dice career solutions
